Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Janice Tay,Lý Quang Diệu Bàn Về Quản Lý,Tập sách,NXB Trẻ,40000,100,34000,25/08/2016,NXB Trẻ,Hết hàng,200
Janice Tay,Lý Quang Diệu Bàn Về Cuộc Đời,"Là một phần của ba bộ sách Lý Quang Diệu, 3 tập này tổng hợp các châm ngôn của Lý Quang Diệu từ các vấn đề gia đình cho đến chính trị. Đây là một tuyển tập giới thiệu tuyệt vời cho người cha khai sáng Singapore.",NXB Trẻ,40000,100,34000,25/08/2016,NXB Trẻ,Hết hàng,200
Nguyễn Đức Anh,"Anh, Em Không Tiếc, Em Tiếc Thanh Xuân","Dành cho những cô gái can đảm sống, can đảm yêu và …can đảm từ bỏ.",SkyBooks,83000,208,70500,03/08/2016,NXB Văn Học,Hết hàng,Đang
Janice Tay,"Combo Lý Quang Diệu Bàn Về Cuộc Đời, Quản Lý và Cầm Quyền - Bộ 3 Cuốn","Đây là tuyển tập 3 sách tổng hợp các châm ngôn của Lý Quang Diệu từ các vấn đề gia đình cho đến chính trị. Đây là một tuyển tập giới thiệu tuyệt vời cho người cha khai sáng Singapore, một tấm gương lãnh đạo cứng rắn điển hình trong thế giới đương đại.",NXB Trẻ,125000,300,99000,25/08/2016,NXB Trẻ,Hết hàng,600
Soichiro Honda,Honda - Sức Mạnh Của Những Giấc Mơ,"Không câu nệ, màu mè, Soichiro Honda chỉ đơn giản là đưa cho bạn những kinh nghiệm hữu ích và thiết thực mà ông rút ra được trong quá trình xây dựng và lãnh đạo Honda.",Thái Hà,69000,268,58500,09/08/2016,NXB Lao Động Xã Hội,Hết hàng,500
Ngự Ngã,1/2 Hoàng Tử - Tập 7: Sau Nảy Sau Này,"Khó khăn lắm mới xông đến trước mặt Chúa Tể Sinh Mệnh, cứ tưởng chuyến này ma vương và anh hùng sẽ một mất một còn, kết quả lại biến thành đại hội tỏ tình? Chuyện quái quỷ gì thế này!?",IPM,65000,Đang,55000,11/08/2016,NXB Văn Học,Hết hàng,Đang
Vladimir Nabokov,Mỹ Nhân Nga,là tuyển tập,Alphabooks,85000,250,72000,09/08/2016,NXB Văn Học,Hết hàng,500
Lý Vỹ Linh,Singapore Của Tôi: Câu Chuyện Của Một Phụ Nữ Khách Gia,Độc giả cũng có thể tìm thấy trong sách nhiều bài viết kể những câu chuyện ít người biết về cuộc sống của gia đình danh giá nhất Singapore và những suy tư của,NXB Trẻ,143000,390,121500,11/08/2016,NXB Trẻ,Hết hàng,600
Gabrielle Zevin,Sách Ngược Đời Xuôi,"Bởi thế mà ngoài khơi xa, ở nơi nắng vàng lấp lóa trên sóng bạc đảo xanh, nơi dân cư thưa thớt lại không thích học hành, vẫn có một tiệm sách nho nhỏ màu đỏ tía. Tiệm này không bán truyện hậu hiện đại, huyền huyễn, viễn tưởng, hậu tận thế; không bán hồi ký, trinh thám, thiếu nhi, truyện tranh, sách dịch, teen và hồi teen; ghét truyện nhiều phông chữ và minh họa nhiều hình, loại thẳng cánh các cuốn có số trang trên bốn trăm hay dưới trăm rưỡi. Gã chủ thì khó đăm đăm và xa lánh nhân tình thế thái… Mặc kệ, tiệm sách vẫn tồn tại.",IPM,75000,280,63500,11/08/2016,NXB Hội Nhà Văn,Hết hàng,500
Ôn Như Nguyễn Văn Ngọc,Cổ Học Tinh Hoa,"Cách mấy tháng, con ngựa về lại quyến thêm được một con ngựa hay nữa. Người quen kẻ thuộc đều đến mừng rỡ. Ông lão nói: “Được ngựa thế mà hoạ cho tôi đấy biết đâu!”",Nhã Nam,72000,296,61000,15/08/2016,NXB Hội Nhà Văn,Hết hàng,500
Alex Gino,"Mẹ Ơi, Con Muốn Làm Con Gái",Cô bé George là một người như thế. Em phải gồng mình lên để làm một đứa con trai như mọi người vẫn tưởng. Em phải im lặng chịu đựng những đứa bắt nạt tai quái ở trường. Em chẳng thể nói với ai những đau đớn dằn vặt đang từng ngày giằng xé tâm hồn mình...,Nhã Nam,59000,154,50000,15/08/2016,NXB Hội Nhà Văn,Hết hàng,4
Nhiều Tác Giả,"Bách Khoa Thư Học Sinh Lười -  Những Kẻ Phá Phách, Bậc Thiên Tài",Ai lại dám cá cược về họ lúc còn niên thiếu?,NXB Kim Đồng,150000,150,127500,15/08/2016,NXB Kim Đồng,Hết hàng,700
Ann Lee,Tuổi 40 Yêu Dấu,Chị ấy không chờ nữa.,NXB Trẻ,80000,208,68000,01/08/2016,NXB Trẻ,Hết hàng,450
Hồng Cửu,Hay Là Mình Sống Chung (Trọn Bộ 2 Tập),Một câu chuyện tình hài hước khiến bạn luôn cười trong tư thế ngoác mồm nhưng cũng khiến bạn hao tổn tâm trí mà suy nghĩ đó.,Quảng Văn,258000,"1,000",219000,16/08/2016,NXB Văn Học,Hết hàng,"1,600"
Lê Minh Khuê,Làn Gió Chảy Qua,"hà văn Lê Minh Khuê được xem là “cây truyện ngắn”, “trùm truyện ngắn”. Trong Thay Lời tựa với tiêu đề Thời gian cho truyện ngắn của tập truyện ngắn",NXB Trẻ,73000,240,62000,01/08/2016,NXB Trẻ,Hết hàng,450
Gemma Elwin Harris,Siêu Nhí Hỏi Siêu Sao Trả Lời,"Hàng ngàn học sinh tiểu học đã gửi những thắc mắc mà các bé muốn biết nhất. Có những thắc mắc dễ thương, có nhiều câu hỏi hóc búa. Và Ban biên tập đã mời những người trả lời là những giáo sư, tiến sĩ, nhà nghiên cứu, chuyên gia trong từng lĩnh vực khoa học và đời sống. Các câu trả lời ngắn gọn, đầy đủ và hài hước. Cuốn sách, vì thế, không chỉ là thể loại phổ biến kiến thức thông thường, mà còn định hướng cho thói quen của trẻ: biết suy xét, phân tích, tổng hợp",NXB Trẻ,105000,260,89000,01/08/2016,NXB Trẻ,Hết hàng,560
